symbol,gd_rating,gd_app_ceo,gd_rec_to_fri,gd_num_reviews,gd_benefits,ind_work_life,ind_pay_ben,ind_job_sec_adv,ind_mgnt,ind_culture,ind_salary_sat,ind_app_ceo
JNJ,4.0,94,83,6686,4.4,4.1,4.1,3.7,3.8,4.1,78,88
PFE,4.0,92,84,3988,4.2,4.0,4.1,3.6,3.8,4.0,78,86
ABBV,3.7,85,74,1342,4.1,3.8,4.0,3.4,3.5,3.7,78,84
BMY,3.9,90,81,1903,4.0,4.0,4.1,3.5,3.7,3.9,84,88
TMO,3.5,84,66,3550,3.7,3.4,3.5,3.1,3.1,3.3,60,76
AMGN,3.6,81,65,2168,4.4,3.8,4.2,3.4,3.5,3.7,80,83
GILD,3.0,77,44,914,4.1,3.4,4.0,3.2,3.2,3.3,80,79
MRK,0,0,0,0,0,0,0,0,0,0,0,0
