company_name,symbol,ni_2010,ni_2011,ni_2012,ni_2013,ni_2014,ni_2015,ni_2016,ni_2017,ni_2018,ni_2019,rev_2010,rev_2011,rev_2012,rev_2013,rev_2014,rev_2015,rev_2016,rev_2017,rev_2018,rev_2019,diff_ni_rev_2010,diff_ni_rev_2011,diff_ni_rev_2012,diff_ni_rev_2013,diff_ni_rev_2014,diff_ni_rev_2015,diff_ni_rev_2016,diff_ni_rev_2017,diff_ni_rev_2018,diff_ni_rev_2019,gd_rating,gd_app_ceo,gd_rec_to_fri,gd_num_reviews,gd_benefits,ind_work_life,ind_pay_ben,ind_job_sec_adv,ind_mgnt,ind_culture,ind_salary_sat,ind_app_ceo
Johnson & Johnson,JNJ,13334000000,9672000000,10853000000,13831000000,16323000000,15409000000,16540000000,1300000000,15297000000,15119000000,61587000000,65030000000,67224000000,71312000000,74331000000,70074000000,71890000000,76450000000,81581000000,82059000000,48253000000,55358000000,56371000000,57481000000,58008000000,54665000000,55350000000,75150000000,66284000000,66940000000,4,94,83,6686,4.4,4.1,4.1,3.7,3.8,4.1,78,88
Pfizer,PFE,8257000000,10009000000,14570000000,22003000000,9135000000,6960000000,7215000000,21308000000,11153000000,16273000000,65165000000,61035000000,54657000000,51584000000,49605000000,48851000000,52824000000,52546000000,53647000000,51750000000,56908000000,51026000000,40087000000,29581000000,40470000000,41891000000,45609000000,31238000000,42494000000,35477000000,4,92,84,3988,4.2,4,4.1,3.6,3.8,4,78,86
AbbVie,ABBV,4178000000,3433000000,5275000000,4128000000,1774000000,5144000000,5953000000,5309000000,5687000000,7882000000,15638000000,17444000000,18380000000,18790000000,19960000000,22859000000,25638000000,28216000000,32753000000,33266000000,11460000000,14011000000,13105000000,14662000000,18186000000,17715000000,19685000000,22907000000,27066000000,25384000000,3.7,85,74,1342,4.1,3.8,4,3.4,3.5,3.7,78,84
Bristol-Myers Squibb,BMY,3090000000,3701000000,1959000000,2563000000,2004000000,1565000000,4457000000,1007000000,4920000000,3439000000,19484000000,21244000000,17621000000,16385000000,15879000000,16560000000,19427000000,20776000000,22561000000,26145000000,16394000000,17543000000,15662000000,13822000000,13875000000,14995000000,14970000000,19769000000,17641000000,22706000000,3.9,90,81,1903,4,4,4.1,3.5,3.7,3.9,84,88
Thermo Fisher Scientific,TMO,1035000000,1330000000,1178000000,1273000000,1894000000,1975000000,2022000000,2225000000,2938000000,3696000000,10393000000,11559000000,12510000000,13090000000,16890000000,16965000000,18274000000,20918000000,24358000000,25542000000,9358000000,10229000000,11332000000,11817000000,14996000000,14990000000,16252000000,18693000000,21420000000,21846000000,3.5,84,66,3550,3.7,3.4,3.5,3.1,3.1,3.3,60,76
Amgen,AMGN,4627000000,3683000000,4345000000,5081000000,5158000000,6939000000,7722000000,1979000000,8394000000,7842000000,15053000000,15582000000,17265000000,18676000000,20063000000,21662000000,22991000000,22849000000,23747000000,23362000000,10426000000,11899000000,12920000000,13595000000,14905000000,14723000000,15269000000,20870000000,15353000000,15520000000,3.6,81,65,2168,4.4,3.8,4.2,3.4,3.5,3.7,80,83
Gilead Sciences,GILD,2901000000,2804000000,2592000000,3075000000,12101000000,18108000000,13501000000,4628000000,5455000000,5386000000,7949000000,8385000000,9702000000,11202000000,24890000000,32639000000,30390000000,26107000000,22127000000,22449000000,5048000000,5581000000,7110000000,8127000000,12789000000,14531000000,16889000000,21479000000,16672000000,17063000000,3,77,44,914,4.1,3.4,4,3.2,3.2,3.3,80,79
Merick & Co,MRK,859000000,6257000000,6165000000,4404000000,11920000000,4442000000,3920000000,2394000000,6220000000,9843000000,45987000000,48047000000,47267000000,44033000000,42237000000,39498000000,39807000000,40122000000,42294000000,46840000000,45128000000,41790000000,41102000000,39629000000,30317000000,35056000000,35887000000,37728000000,36074000000,36997000000,0,0,0,0,0,0,0,0,0,0,0,0
